id	char
0	

1	 
2	'
3	(
4	)
5	*
6	/
7	0
8	1
9	2
10	3
11	4
12	6
13	7
14	8
15	A
16	B
17	C
18	D
19	E
20	F
21	G
22	H
23	K
24	L
25	M
26	N
27	O
28	P
29	S
30	T
31	U
32	V
33	W
34	X
35	Y
36	a
37	b
38	c
39	d
40	e
41	f
42	g
43	h
44	i
45	j
46	k
47	l
48	m
49	n
50	o
51	r
52	s
53	t
54	u
55	v
56	w
57	x
58	y
59	…
60	㖞
61	一
62	丁
63	七
64	万
65	三
66	上
67	下
68	不
69	与
70	丐
71	丑
72	专
73	且
74	世
75	丘
76	业
77	东
78	丝
79	丢
80	两
81	严
82	丧
83	个
84	中
85	丰
86	串
87	临
88	丹
89	为
90	主
91	丽
92	举
93	乃
94	久
95	么
96	义
97	之
98	乌
99	乍
100	乎
101	乏
102	乐
103	乔
104	乖
105	乘
106	乜
107	九
108	乞
109	也
110	习
111	乡
112	书
113	买
114	乱
115	乾
116	亁
117	了
118	予
119	争
120	事
121	二
122	于
123	亏
124	云
125	互
126	五
127	井
128	亚
129	些
130	亡
131	亢
132	交
133	亦
134	产
135	享
136	京
137	亮
138	亲
139	人
140	亿
141	什
142	仁
143	仅
144	仇
145	今
146	介
147	仍
148	从
149	仓
150	仔
151	他
152	仗
153	付
154	仙
155	代
156	令
157	以
158	们
159	仰
160	仲
161	件
162	价
163	任
164	份
165	仿
166	企
167	伊
168	伏
169	伐
170	休
171	众
172	优
173	伙
174	会
175	伞
176	伟
177	传
178	伤
179	伦
180	伪
181	伯
182	估
183	伴
184	伶
185	伸
186	似
187	但
188	位
189	低
190	住
191	佑
192	体
193	何
194	余
195	佛
196	作
197	你
198	佢
199	佩
200	佬
201	佳
202	併
203	佻
204	使
205	來
206	侈
207	例
208	侍
209	供
210	依
211	侠
212	侣
213	侦
214	侧
215	侬
216	侮
217	便
218	促
219	俊
220	俏
221	俐
222	俗
223	保
224	信
225	俩
226	修
227	俯
228	俱
229	俾
230	個
231	倍
232	們
233	倒
234	倔
235	候
236	倚
237	借
238	倦
239	倩
240	倫
241	债
242	值
243	倾
244	假
245	偉
246	偏
247	偕
248	做
249	停
250	健
251	偶
252	偷
253	偿
254	傅
255	傍
256	傑
257	储
258	催
259	傲
260	傷
261	傻
262	像
263	僵
264	僻
265	儿
266	允
267	元
268	兄
269	充
270	兆
271	先
272	光
273	克
274	免
275	兒
276	兜
277	入
278	全
279	兩
280	八
281	公
282	六
283	兰
284	共
285	关
286	兴
287	兵
288	其
289	具
290	典
291	养
292	兼
293	兽
294	冀
295	内
296	冇
297	再
298	冒
299	冕
300	写
301	冚
302	军
303	冠
304	冤
305	冥
306	冬
307	冰
308	冲
309	决
310	况
311	冷
312	冻
313	冽
314	净
315	凄
316	准
317	凉
318	凌
319	减
320	凑
321	凝
322	几
323	凡
324	凭
325	凶
326	出
327	击
328	刀
329	刁
330	刃
331	分
332	切
333	刊
334	划
335	列
336	刘
337	则
338	刚
339	创
340	初
341	删
342	判
343	別
344	利
345	别
346	刮
347	到
348	制
349	刷
350	刹
351	刺
352	刻
353	刽
354	剃
355	前
356	剎
357	剔
358	剥
359	剧
360	剩
361	剪
362	副
363	割
364	劈
365	力
366	劝
367	办
368	功
369	加
370	务
371	劣
372	动
373	助
374	努
375	劫
376	励
377	劲
378	劳
379	势
380	勇
381	勉
382	勋
383	動
384	勝
385	勤
386	勾
387	勿
388	包
389	匆
390	化
391	北
392	匙
393	匪
394	匹
395	区
396	医
397	十
398	千
399	升
400	午
401	卉
402	半
403	华
404	协
405	卑
406	卒
407	卓
408	单
409	卖
410	南
411	博
412	卜
413	占
414	卡
415	卢
416	卧
417	卫
418	卯
419	印
420	危
421	即
422	却
423	卸
424	厂
425	厅
426	历
427	厉
428	压
429	厌
430	厘
431	厚
432	原
433	厢
434	厨
435	厮
436	去
437	参
438	又
439	叉
440	及
441	友
442	双
443	反
444	发
445	取
446	受
447	变
448	叙
449	叛
450	叠
451	口
452	古
453	句
454	另
455	叨
456	只
457	叫
458	叭
459	叮
460	可
461	台
462	史
463	右
464	叶
465	号
466	司
467	叹
468	叻
469	吃
470	各
471	合
472	吉
473	吊
474	吋
475	同
476	名
477	后
478	吐
479	向
480	吒
481	吓
482	吗
483	君
484	吝
485	吞
486	吟
487	否
488	吧
489	吨
490	含
491	听
492	启
493	吵
494	吸
495	吹
496	吻
497	吼
498	呀
499	呆
500	呈
501	告
502	呎
503	呑
504	呔
505	呕
506	员
507	呢
508	周
509	味
510	呵
511	呻
512	呼
513	命
514	咀
515	咁
516	咆
517	和
518	咏
519	咒
520	咖
521	咗
522	咙
523	咩
524	咪
525	咫
526	咬
527	咯
528	哀
529	品
530	哄
531	哇
532	哈
533	哉
534	哋
535	响
536	哑
537	哒
538	哗
539	哥
540	哦
541	哩
542	哪
543	哭
544	哮
545	哲
546	哼
547	唆
548	唇
549	唉
550	唏
551	唔
552	唠
553	唤
554	售
555	唯
556	唱
557	唾
558	商
559	啊
560	啖
561	啡
562	啤
563	啦
564	啪
565	啫
566	啬
567	啰
568	啸
569	喂
570	喃
571	善
572	喇
573	喉
574	喊
575	喋
576	喔
577	喘
578	喜
579	喝
580	喧
581	單
582	喱
583	喵
584	喷
585	喻
586	喽
587	嗌
588	嗒
589	嗤
590	嗦
591	嗨
592	嗯
593	嗰
594	嗱
595	嘅
596	嘉
597	嘘
598	嘛
599	嘢
600	嘱
601	嘲
602	嘴
603	嘶
604	嘹
605	嘻
606	嘿
607	噢
608	器
609	噩
610	噪
611	噬
612	嚟
613	嚣
614	嚷
615	囊
616	四
617	回
618	因
619	团
620	园
621	困
622	围
623	固
624	国
625	图
626	圆
627	圈
628	土
629	圣
630	在
631	地
632	场
633	圾
634	坏
635	坐
636	块
637	坚
638	坝
639	坞
640	坟
641	坠
642	坦
643	坪
644	垂
645	垃
646	型
647	垒
648	垢
649	垫
650	垮
651	埃
652	埋
653	城
654	埗
655	域
656	基
657	堂
658	堆
659	堕
660	堡
661	堪
662	塌
663	塔
664	塘
665	塞
666	填
667	境
668	墓
669	墙
670	增
671	墟
672	壁
673	壤
674	士
675	壮
676	声
677	壳
678	处
679	备
680	复
681	夏
682	夕
683	外
684	多
685	夜
686	够
687	夠
688	大
689	天
690	太
691	夫
692	央
693	失
694	头
695	夸
696	夹
697	夺
698	奇
699	奈
700	奉
701	奋
702	奏
703	契
704	奔
705	奕
706	奖
707	套
708	奢
709	奥
710	女
711	奴
712	奶
713	她
714	好
715	如
716	妄
717	妆
718	妇
719	妈
720	妒
721	妖
722	妙
723	妥
724	妨
725	妹
726	妻
727	姆
728	始
729	姐
730	姑
731	姓
732	委
733	姨
734	姿
735	威
736	娃
737	娇
738	娘
739	娛
740	娜
741	娱
742	娶
743	婀
744	婉
745	婚
746	婴
747	媚
748	媲
749	嫁
750	嫉
