id	char
0	

1	 
2	'
3	(
4	)
5	-
6	2
7	4
8	A
9	B
10	C
11	E
12	G
13	H
14	I
15	J
16	K
17	L
18	M
19	N
20	O
21	P
22	R
23	S
24	W
25	Y
26	a
27	b
28	c
29	d
30	e
31	g
32	h
33	i
34	k
35	l
36	m
37	n
38	o
39	p
40	r
41	s
42	t
43	u
44	v
45	w
46	y
47	z
48	~
49	Д
50	С
51	а
52	в
53	е
54	и
55	й
56	л
57	н
58	ы
59	ь
60	一
61	丁
62	七
63	万
64	三
65	上
66	下
67	不
68	与
69	丑
70	且
71	世
72	丘
73	丙
74	业
75	丝
76	两
77	严
78	个
79	中
80	临
81	为
82	主
83	丽
84	举
85	久
86	么
87	义
88	之
89	乌
90	乎
91	乏
92	乐
93	乖
94	乘
95	乙
96	也
97	习
98	书
99	买
100	乱
101	了
102	争
103	事
104	二
105	于
106	云
107	互
108	井
109	些
110	交
111	亦
112	享
113	亮
114	亲
115	人
116	什
117	仃
118	今
119	介
120	仍
121	从
122	他
123	付
124	代
125	以
126	们
127	仰
128	价
129	任
130	份
131	仿
132	伏
133	伐
134	休
135	众
136	优
137	会
138	伞
139	传
140	伤
141	伪
142	伴
143	伶
144	伸
145	似
146	但
147	位
148	低
149	住
150	体
151	何
152	余
153	佛
154	作
155	你
156	使
157	來
158	依
159	侧
160	侵
161	便
162	俘
163	保
164	信
165	俱
166	個
167	倍
168	倒
169	倔
170	候
171	借
172	值
173	倾
174	假
175	偎
176	偏
177	做
178	停
179	偶
180	偷
181	傲
182	傻
183	像
184	優
185	兆
186	先
187	光
188	克
189	免
190	兑
191	兒
192	入
193	全
194	兩
195	公
196	六
197	共
198	关
199	兴
200	其
201	典
202	养
203	兽
204	冀
205	内
206	再
207	冒
208	写
209	军
210	农
211	冠
212	冬
213	冰
214	冲
215	决
216	冷
217	冻
218	净
219	凄
220	准
221	凋
222	凌
223	凝
224	几
225	凡
226	凤
227	凭
228	凰
229	出
230	击
231	刀
232	分
233	切
234	划
235	则
236	刚
237	创
238	初
239	删
240	別
241	利
242	别
243	到
244	制
245	刹
246	刺
247	刻
248	前
249	剥
250	剧
251	剩
252	剪
253	割
254	力
255	劝
256	功
257	加
258	动
259	努
260	劲
261	勇
262	勉
263	勒
264	包
265	化
266	匹
267	区
268	十
269	千
270	升
271	午
272	半
273	华
274	协
275	单
276	占
277	卡
278	卦
279	卫
280	印
281	危
282	即
283	却
284	卷
285	卸
286	厅
287	历
288	压
289	厌
290	原
291	厦
292	去
293	参
294	又
295	及
296	友
297	双
298	反
299	发
300	取
301	受
302	变
303	叛
304	叠
305	口
306	句
307	另
308	只
309	叫
310	召
311	可
312	台
313	右
314	叶
315	号
316	叹
317	吃
318	合
319	吉
320	同
321	名
322	后
323	吐
324	向
325	吗
326	吞
327	否
328	吧
329	含
330	听
331	吵
332	吸
333	吹
334	吻
335	呆
336	告
337	呢
338	周
339	味
340	呼
341	命
342	咁
343	咆
344	和
345	咖
346	咫
347	咽
348	哀
349	响
350	哟
351	哦
352	哪
353	哭
354	哮
355	唇
356	唉
357	唏
358	唔
359	唤
360	唯
361	唱
362	唸
363	啊
364	問
365	啡
366	啸
367	啼
368	善
369	喔
370	喘
371	喜
372	喝
373	單
374	嗌
375	嗎
376	嘉
377	嘘
378	嘛
379	嘴
380	嘻
381	嘿
382	噢
383	器
384	噬
385	嚮
386	四
387	回
388	因
389	困
390	围
391	国
392	图
393	圆
394	圈
395	土
396	在
397	地
398	场
399	坏
400	坐
401	块
402	坚
403	坠
404	坦
405	埃
406	埋
407	城
408	基
409	堂
410	堆
411	堕
412	堪
413	塌
414	塔
415	塞
416	填
417	境
418	墓
419	墙
420	壤
421	士
422	声
423	壳
424	处
425	备
426	复
427	夏
428	夕
429	外
430	夙
431	多
432	夜
433	够
434	大
435	天
436	太
437	失
438	头
439	夺
440	奇
441	奈
442	奋
443	奏
444	契
445	套
446	奢
447	女
448	她
449	好
450	如
451	妄
452	妆
453	妈
454	妒
455	妖
456	妥
457	始
458	姑
459	姓
460	委
461	姿
462	娃
463	娇
464	娘
465	媚
466	嫌
467	嫩
468	子
469	字
470	存
471	季
472	孤
473	学
474	孩
475	宁
476	它
477	宇
478	守
479	安
480	完
481	官
482	宙
483	定
484	宝
485	实
486	宠
487	客
488	宣
489	室
490	宫
491	害
492	宵
493	家
494	容
495	寂
496	密
497	寒
498	寞
499	察
500	寥
501	實
502	寸
503	对
504	寻
505	封
506	射
507	将
508	專
509	尊
510	對
511	小
512	少
513	尔
514	尖
515	尘
516	就
517	尺
518	尼
519	尽
520	尾
521	局
522	屈
523	屑
524	展
525	属
526	屡
527	履
528	山
529	岁
530	岔
531	岖
532	岩
533	岭
534	岸
535	崎
536	崖
537	崩
538	左
539	巨
540	差
541	己
542	已
543	巴
544	市
545	布
546	希
547	帝
548	带
549	常
550	干
551	平
552	年
553	并
554	幸
555	幹
556	幻
557	幼
558	幽
559	庆
560	床
561	应
562	底
563	庞
564	度
565	座
566	廓
567	延
568	开
569	异
570	弃
571	弄
572	式
573	引
574	张
575	弦
576	弯
577	弱
578	弹
579	强
580	归
581	当
582	录
583	形
584	彩
585	影
586	彷
587	彻
588	彼
589	彿
590	往
591	径
592	待
593	很
594	徊
595	律
596	後
597	得
598	徘
599	微
600	德
601	心
602	必
603	忆
604	忌
605	忍
606	忐
607	忑
608	志
609	忘
610	忙
611	忧
612	快
613	念
614	忽
615	怀
616	态
617	怎
618	怒
619	怕
620	思
621	性
622	怨
623	怪
624	怯
625	总
626	怼
627	恋
628	恐
629	恒
630	恨
631	息
632	恶
633	恼
634	悄
635	悉
636	悔
637	患
638	悬
639	悲
640	悴
641	悼
642	情
643	惊
644	惑
645	惘
646	惜
647	惧
648	惩
649	惯
650	想
651	愈
652	愉
653	意
654	愚
655	感
656	愤
657	愫
658	愿
659	慌
660	慕
661	慢
662	慰
663	憎
664	憐
665	憔
666	憧
667	憬
668	憾
669	懂
670	懦
671	戏
672	成
673	我
674	戒
675	或
676	战
677	戴
678	房
679	所
680	扇
681	手
682	才
683	扎
684	打
685	托
686	扛
687	扣
688	执
689	扩
690	扮
691	扰
692	批
693	找
694	承
695	把
696	抑
697	抓
698	投
699	抖
700	抗
701	折
702	抚
703	抛
704	抢
705	护
706	报
707	抬
708	抱
709	抵
710	抹
711	抽
712	拂
713	担
714	拆
715	拉
716	拍
717	拒
718	拖
719	拘
720	拜
721	拥
722	择
723	拯
724	拳
725	拼
726	拾
727	拿
728	持
729	挂
730	指
731	按
732	挑
733	挚
734	挞
735	挡
736	挣
737	挤
738	挥
739	挽
740	捆
741	捉
742	换
743	据
744	掉
745	掌
746	排
747	接
748	控
749	推
750	掩
751	揉
752	握
753	揭
754	搏
755	搜
756	摆
757	摇
758	摊
759	摩
760	摸
761	撑
762	撒
763	撕
764	撞
765	擅
