id	char
0	

1	 
2	&
3	0
4	1
5	2
6	3
7	8
8	9
9	A
10	B
11	C
12	D
13	E
14	F
15	G
16	I
17	L
18	M
19	N
20	O
21	P
22	Q
23	R
24	S
25	T
26	V
27	X
28	_
29	a
30	b
31	c
32	d
33	e
34	f
35	g
36	h
37	i
38	j
39	l
40	n
41	o
42	p
43	r
44	s
45	t
46	u
47	v
48	w
49	x
50	y
51	…
52	一
53	七
54	万
55	丈
56	三
57	上
58	下
59	不
60	与
61	丑
62	专
63	且
64	世
65	业
66	丛
67	东
68	丝
69	丢
70	两
71	严
72	丧
73	个
74	中
75	丰
76	临
77	为
78	主
79	丽
80	举
81	久
82	么
83	义
84	之
85	乌
86	乎
87	乏
88	乐
89	乔
90	乖
91	乘
92	九
93	乞
94	也
95	习
96	乡
97	书
98	买
99	乱
100	了
101	予
102	争
103	事
104	二
105	于
106	云
107	互
108	五
109	井
110	亚
111	些
112	亡
113	交
114	亦
115	产
116	享
117	京
118	亮
119	亲
120	人
121	什
122	仁
123	仄
124	仅
125	仇
126	今
127	从
128	他
129	仗
130	付
131	代
132	令
133	以
134	们
135	仰
136	件
137	价
138	任
139	份
140	仿
141	企
142	伊
143	伏
144	休
145	众
146	优
147	会
148	伞
149	伟
150	传
151	伤
152	伪
153	伯
154	伴
155	伸
156	似
157	但
158	位
159	低
160	住
161	体
162	何
163	余
164	佛
165	作
166	你
167	佯
168	佳
169	使
170	侃
171	依
172	侣
173	侧
174	侯
175	便
176	促
177	俗
178	保
179	信
180	俩
181	修
182	俯
183	倒
184	倔
185	候
186	倚
187	倜
188	借
189	倦
190	值
191	倾
192	假
193	偏
194	做
195	停
196	健
197	偶
198	偷
199	傥
200	催
201	傲
202	傻
203	像
204	儿
205	兀
206	元
207	兄
208	充
209	先
210	光
211	克
212	免
213	兑
214	兜
215	入
216	全
217	八
218	公
219	六
220	共
221	关
222	兴
223	兵
224	其
225	具
226	典
227	养
228	兼
229	兽
230	内
231	再
232	冒
233	写
234	农
235	冤
236	冬
237	冰
238	冲
239	决
240	冶
241	冷
242	冻
243	净
244	凄
245	准
246	凉
247	凋
248	减
249	凝
250	几
251	凡
252	凭
253	出
254	击
255	刀
256	分
257	切
258	划
259	列
260	则
261	刚
262	创
263	初
264	删
265	判
266	利
267	别
268	到
269	制
270	刷
271	刺
272	刻
273	剂
274	前
275	剑
276	剔
277	剥
278	剧
279	剩
280	剪
281	副
282	割
283	力
284	劝
285	办
286	功
287	加
288	动
289	努
290	劫
291	劳
292	势
293	勇
294	勤
295	勺
296	勾
297	勿
298	包
299	化
300	北
301	十
302	千
303	升
304	午
305	半
306	华
307	单
308	卖
309	南
310	博
311	卜
312	占
313	卦
314	卧
315	印
316	危
317	却
318	卷
319	卸
320	厄
321	厅
322	历
323	厉
324	压
325	厌
326	厚
327	原
328	厥
329	厨
330	去
331	参
332	又
333	及
334	友
335	双
336	反
337	发
338	叔
339	取
340	受
341	变
342	叛
343	叠
344	口
345	古
346	句
347	另
348	叩
349	只
350	叫
351	可
352	台
353	史
354	右
355	叶
356	号
357	叹
358	吃
359	各
360	合
361	吊
362	同
363	名
364	后
365	吐
366	向
367	吗
368	君
369	否
370	吧
371	含
372	听
373	启
374	吵
375	吸
376	吹
377	吻
378	呀
379	呆
380	呈
381	告
382	呜
383	呢
384	周
385	味
386	呼
387	命
388	和
389	咒
390	咙
391	咬
392	咸
393	咽
394	哀
395	品
396	哄
397	哇
398	哈
399	响
400	哎
401	哑
402	哒
403	哗
404	哟
405	哥
406	哦
407	哨
408	哪
409	哭
410	哼
411	唇
412	唏
413	唐
414	唤
415	唧
416	唯
417	唱
418	商
419	啊
420	啦
421	啮
422	喂
423	善
424	喉
425	喊
426	喘
427	喜
428	喝
429	嗒
430	嗓
431	嗯
432	嘉
433	嘘
434	嘛
435	嘱
436	嘴
437	嘶
438	嘿
439	囊
440	四
441	回
442	因
443	团
444	园
445	困
446	围
447	固
448	国
449	图
450	圆
451	圈
452	土
453	圣
454	在
455	地
456	场
457	圾
458	坊
459	坏
460	坐
461	块
462	坚
463	坠
464	坡
465	坦
466	坨
467	垂
468	垃
469	型
470	垫
471	埃
472	埋
473	城
474	域
475	堂
476	堆
477	堕
478	堤
479	堪
480	堵
481	塞
482	境
483	墓
484	墙
485	增
486	墨
487	壁
488	壑
489	壤
490	壮
491	声
492	壶
493	处
494	备
495	复
496	夏
497	夕
498	外
499	夙
500	多
501	夜
502	够
503	大
504	天
505	太
506	夫
507	央
508	失
509	头
510	夸
511	夺
512	奇
513	奈
514	奉
515	奏
516	奔
517	奖
518	套
519	奢
520	女
521	她
522	好
523	如
524	妄
525	妆
526	妈
527	妖
528	妙
529	妥
530	妮
531	妹
532	妻
533	始
534	姑
535	委
536	姗
537	姿
538	娇
539	娘
540	娥
541	娶
542	婉
543	媚
544	嫌
545	子
546	孔
547	字
548	存
549	孙
550	季
551	孤
552	学
553	孩
554	孵
555	孽
556	宁
557	它
558	宇
559	守
560	安
561	完
562	宕
563	官
564	宙
565	定
566	宝
567	实
568	宠
569	审
570	客
571	宣
572	室
573	宫
574	害
575	宴
576	家
577	容
578	宽
579	宾
580	宿
581	寂
582	寄
583	密
584	寐
585	寒
586	寞
587	察
588	寡
589	寥
590	寸
591	对
592	寻
593	导
594	寿
595	封
596	将
597	尊
598	小
599	少
600	尔
601	尖
602	尘
603	尚
604	尝
605	尬
606	就
607	尴
608	尺
609	尼
610	尽
611	尾
612	局
613	层
614	居
615	屈
616	屋
617	屏
618	屐
619	展
620	属
621	履
622	山
623	屿
624	岁
625	岔
626	岛
627	岭
628	岸
629	峨
630	峰
631	崇
632	嵩
633	嶂
634	巅
635	川
636	州
637	工
638	左
639	巧
640	巨
641	差
642	己
643	已
644	巴
645	巷
646	巾
647	币
648	市
649	布
650	帆
651	师
652	希
653	帖
654	帘
655	帝
656	带
657	席
658	帮
659	常
660	帽
661	幅
662	幕
663	干
664	平
665	年
666	并
667	幸
668	幻
669	幽
670	广
671	庆
672	床
673	序
674	庐
675	库
676	应
677	底
678	店
679	府
680	度
681	座
682	庭
683	康
684	庸
685	廊
686	廓
687	延
688	开
689	异
690	弃
691	弄
692	弊
693	式
694	弓
695	引
696	弟
697	张
698	弦
699	弧
700	弯
701	弱
702	弹
703	强
704	归
705	当
706	录
707	形
708	彩
709	影
710	彷
711	彻
712	彼
713	往
714	征
715	待
716	很
717	徉
718	徊
719	律
720	徒
721	得
722	徘
723	徜
724	御
725	徨
726	循
727	微
728	德
729	心
730	必
731	忆
732	忍
733	忏
734	志
735	忘
736	忙
737	忠
738	忧
739	快
740	念
741	忽
742	怀
743	态
744	怂
745	怅
746	怎
747	怒
748	怔
749	怕
750	怜
751	思
752	急
753	性
754	怨
755	怪
756	总
757	恃
758	恋
759	恍
760	恐
761	恒
762	恕
763	恢
